source_id,file_or_collection,object_type,upstream_sha,size_bytes,processed_status,provenance,notes
kadu_rao_marathi_vot_github,README.md,documentation,fe50b4366fb07a288bd61650d09ca3900c5f6e0,,processed,GitHub master,"Manual annotation evidence; speaker/stimulus counts and methods."
kadu_rao_marathi_vot_github,Audio files/original recordings,primary_audio_collection,,,manifested,GitHub master,"Tree contains original participant recordings in OPUS/MP3/MP4; do not duplicate converted WAV lineage as independent recordings."
kadu_rao_marathi_vot_github,Audio files/wav files,converted_audio_collection,,,manifested,GitHub master,"Converted WAV lineage of original recordings."
kadu_rao_marathi_vot_github,Audio files/wav files/mono/F1_mono.TextGrid,manual_annotation,5e8227b6b16a40f725c17b25be7c7b2f373cd362,18578,inspected,GitHub master,"2 tiers; word tier contains 36 non-empty word intervals; phonemes tier inspected but labels require source-specific parsing/verification before harmonization."
kadu_rao_marathi_vot_github,Audio files/wav files/mono/F2_mono.TextGrid,manual_annotation,d9500e488bf4599c93f43681dc51391b5a481eae,41438,pending_parse,GitHub master,"Manual Praat annotation object."
kadu_rao_marathi_vot_github,Audio files/wav files/mono/F3_mono.TextGrid,manual_annotation,c94f0d75a627ba16fae2163d0ac9a35fd141ca76,17112,pending_parse,GitHub master,"Manual Praat annotation object."
kadu_rao_marathi_vot_github,Audio files/wav files/mono/M1_Ghoda__mono.TextGrid,manual_annotation,6db9d06d6733a2224f0bb7eeeb1e6d7513ef577b,5638,pending_parse,GitHub master,"Manual Praat annotation object; lineage/name mismatch with M1_Kshitij requires review."
kadu_rao_marathi_vot_github,Audio files/wav files/mono/M1_Kshitij__mono.TextGrid,manual_annotation,1f355643462f174fb2979c5891573eec025d33c8,32494,pending_parse,GitHub master,"Manual Praat annotation object."
kadu_rao_marathi_vot_github,Audio files/wav files/mono/M2_Atharva__mono.TextGrid,manual_annotation,ac1f87f9fe1778cbe05e4fa4c8a6d90535180294,32157,pending_parse,GitHub master,"Manual Praat annotation object."
kadu_rao_marathi_vot_github,Male vot.xlsx,derived_measurement_workbook,,,pending_binary_parse,GitHub master,"Calculated VOT values; preserve all sheets/columns when binary retrieval becomes available."
kadu_rao_marathi_vot_github,Marathi Word List.pdf,stimulus_document,,,pending_parse,GitHub master,"36-word curated stimulus list according to README."
