source_id,repository_path,upstream_blob_sha,size_bytes,file_role,annotation_scope,ingestion_status,notes
ompal_2025,native_scores.json,4188c0d95e766c91e5ccf8172bc1f049484c95ed,199083,annotation_json,"native utterance pronunciation scores",PENDING_PARSE,"public GitHub source; preserve source-faithful values"
ompal_2025,non-native_scores-detail.json,397d9468fc9f5f76b8a4d5fafaeabe2018e4ac33,10045943,annotation_json,"per-rater non-native accuracy/fluency/prosody plus word consonant/vowel/tone judgments",PENDING_PARSE,"highest-priority source-faithful file; 10 MB connector response exceeds convenient one-shot parsing"
ompal_2025,non-native_scores.json,07dc2963a787b3273459ee63e2a75adfac2f64a2,4311780,annotation_json,"aggregated non-native pronunciation scores",PENDING_PARSE,"retain separately from detailed ratings"
ompal_2025,test/test_1_scores.json,ec2f31b02baca76a462fe8b02fc7678df8b3344f,476997,derived_split_json,"test split 1 scores",PENDING_LINEAGE_CHECK,"derived split; do not double-count underlying utterance ratings"
ompal_2025,test/test_2_scores.json,1fa0300149fe4c247ca46440866715e7568486f7,396037,derived_split_json,"test split 2 scores",PENDING_LINEAGE_CHECK,"derived split; do not double-count underlying utterance ratings"
ompal_2025,test/test_3_scores.json,c8a78068ecdaeb6fe122951dad74baa5bf9389b8,476826,derived_split_json,"test split 3 scores",PENDING_LINEAGE_CHECK,"derived split; do not double-count underlying utterance ratings"
ompal_2025,test/test_4_scores.json,f04ce43e2b3ce4aea330aa3fec27bba3d79707f7,476850,derived_split_json,"test split 4 scores",PENDING_LINEAGE_CHECK,"derived split; do not double-count underlying utterance ratings"
ompal_2025,test/test_5_scores.json,3a16c52a782e0abc0d5cc21604ec53e78f74bd25,435561,derived_split_json,"test split 5 scores",PENDING_LINEAGE_CHECK,"derived split; do not double-count underlying utterance ratings"
ompal_2025,train/train_1_scores.json,91ffecde465ed9a676479b69cf3b2c05582090c7,3914694,derived_split_json,"train split 1 scores",PENDING_LINEAGE_CHECK,"derived split; do not double-count underlying utterance ratings"
ompal_2025,train/train_2_scores.json,68443b36c4e052936827d6502e9585ed04014edf,3995654,derived_split_json,"train split 2 scores",PENDING_LINEAGE_CHECK,"derived split; do not double-count underlying utterance ratings"
ompal_2025,train/train_3_scores.json,11563eee639cc0cfd4c68cabfca539d58be89f8c,3914865,derived_split_json,"train split 3 scores",PENDING_LINEAGE_CHECK,"derived split; do not double-count underlying utterance ratings"
ompal_2025,train/train_4_scores.json,3e041e9c793721686ebca51c84ecebc3c48a3818,3914841,derived_split_json,"train split 4 scores",PENDING_LINEAGE_CHECK,"derived split; do not double-count underlying utterance ratings"
ompal_2025,train/train_5_scores.json,f4f2a9bcbadeee9ba5329047933c7bfad5a7f78d,3914691,derived_split_json,"train split 5 scores",PENDING_LINEAGE_CHECK,"derived split; do not double-count underlying utterance ratings"
ompal_2025,wav/,5d929aa49b93e21915607539df1140368b1204e4,,audio_tree,"1,850 primary WAV utterances across 49 speakers",REFERENCE_ONLY,"raw audio remains authoritative upstream rather than mirrored into this repository"
